Employee Estimate,Employees on Professional Networks,Employee Growth (Monthly),Employee Growth (Quarterly),Employee Growth (6 months),Employee Growth (Annual),Last Funding Amount,Total Funding Amount,Total Funding Rounds,Rank,is_us,company_age,is_tech_enabled,Days Since Last Funding Date,Days Since Last Touch Date,Days Since Last Pipeline Decline Date
300.0,,,,,2.03,,25400000.0,0.0,0.0,1.0,37.0,1,3290.0,,
300.0,,,,,19.76,19000000.0,27000000.0,2.0,0.0,1.0,18.0,1,4987.0,,
297.0,,,,,26.81,34000000.0,49400000.0,3.0,0.0,1.0,6.0,1,1369.0,,
296.0,,,,,-4.81,,30000000.0,2.0,0.0,1.0,7.0,1,958.0,323.0,
295.0,,,,,16.93,61000000.0,92000000.0,6.0,0.0,1.0,13.0,1,1237.0,,
295.0,,,,,-2.3,100000000.0,100000000.0,2.0,0.0,1.0,7.0,1,1377.0,,
294.0,,,,,-1.01,22500000.0,49260000.0,6.0,0.0,1.0,17.0,1,3112.0,603.0,
294.0,,,,,32.58,300000.0,61700000.0,8.0,0.0,1.0,11.0,1,823.0,,
293.0,,,,,-3.27,14500000.0,60500000.0,7.0,0.0,1.0,27.0,1,7133.0,,
293.0,,,,,105.56,50000000.0,51500000.0,2.0,0.0,0.5,13.0,1,1207.0,,
291.0,,,,,72.94,32000000.0,46100000.0,4.0,0.0,1.0,9.0,1,508.0,323.0,
291.0,,,,,11.83,50000000.0,50000000.0,1.0,0.0,1.0,18.0,1,1479.0,,
291.0,,,,,-21.2,50000000.0,93000000.0,4.0,0.0,1.0,9.0,1,1439.0,316.0,
290.0,,,,,26.84,12000000.0,28680000.0,6.0,0.0,0.0,15.0,1,2957.0,323.0,
289.0,,,,,-6.43,15000000.0,97200000.0,5.0,0.0,1.0,13.0,1,581.0,,
289.0,,,,,3.93,,41000000.0,4.0,0.0,1.0,19.0,1,2068.0,316.0,
288.0,,,,,36.67,22000000.0,31000000.0,2.0,0.0,1.0,5.0,1,1328.0,,
288.0,,,,,3.58,30000000.0,45930000.0,3.0,0.0,0.0,9.0,1,828.0,,
286.0,,,,,1.06,34000000.0,44000000.0,2.0,0.0,0.0,26.0,1,1557.0,,
285.0,,,,,13.1,54000000.0,59000000.0,3.0,0.0,0.0,13.0,1,2050.0,,
284.0,,,,,-8.12,15000000.0,55000000.0,5.0,0.0,0.0,24.0,1,1397.0,,
283.0,,,,,-2.05,30000000.0,97500000.0,4.0,0.0,1.0,32.0,1,465.0,,
282.0,,,,,6.74,48610000.0,48610000.0,1.0,0.0,1.0,23.0,1,2782.0,,
281.0,,,,,46.07,25000000.0,35000000.0,2.0,0.0,0.0,3.0,1,854.0,,
280.0,,,,,-5.98,,71060000.0,5.0,0.0,1.0,10.0,1,1403.0,316.0,
280.0,,,,,50.0,20000000.0,31500000.0,2.0,0.0,1.0,5.0,1,390.0,294.0,746.0
279.0,,,,,-1.07,23000000.0,29150000.0,6.0,0.0,0.0,19.0,1,549.0,293.0,333.0
279.0,,,,,8.59,36000000.0,54000000.0,3.0,0.0,1.0,5.0,1,956.0,330.0,
278.0,,,,,85.43,28230000.0,34630000.0,3.0,0.0,0.0,8.0,1,1420.0,,
278.0,,,,,1.47,31000000.0,66780000.0,3.0,0.0,1.0,9.0,1,1452.0,,
278.0,,,,,13.47,27000000.0,27000000.0,3.0,0.0,1.0,7.0,1,1479.0,294.0,425.0
277.0,,,,,-2.46,50000000.0,66000000.0,5.0,0.0,1.0,7.0,1,1238.0,,
277.0,,,,,22.67,50000000.0,92000000.0,10.0,0.0,1.0,11.0,1,817.0,,
276.0,,,,,-7.0,,75000000.0,2.0,0.0,1.0,24.0,1,1832.0,,
276.0,,,,,-1.08,19500000.0,39100000.0,5.0,0.0,1.0,16.0,1,2046.0,,
275.0,,,,,3.36,7990000.0,66190000.0,4.0,0.0,1.0,25.0,1,1551.0,,
274.0,,,,,-10.39,52000000.0,75000000.0,4.0,0.0,1.0,13.0,1,2019.0,316.0,
274.0,,,,,20.8,23000000.0,39000000.0,2.0,0.0,1.0,13.0,1,789.0,,
273.0,,,,,11.74,10000000.0,69000000.0,5.0,0.0,1.0,8.0,1,537.0,,
272.0,,,,,40.0,30000000.0,35510000.0,5.0,0.0,1.0,14.0,1,1392.0,,
272.0,,,,,5.45,19000000.0,96000000.0,4.0,0.0,0.0,13.0,1,781.0,,
272.0,,,,,12.3,65349999.0,65349999.0,1.0,0.0,0.0,32.0,1,626.0,,
271.0,,,,,-22.95,33000000.0,40100000.0,3.0,0.0,1.0,15.0,1,2098.0,316.0,
271.0,,,,,48.11,50000000.0,98800000.0,8.0,0.0,1.0,7.0,1,717.0,,
271.0,,,,,-8.08,57000000.0,72800000.0,4.0,0.0,1.0,16.0,1,3819.0,,
270.0,,,,,20.54,15350000.0,44780000.0,8.0,0.0,0.0,11.0,1,747.0,,
268.0,,,,,-10.14,30000000.0,44500000.0,5.0,0.0,1.0,8.0,1,1234.0,,
268.0,,,,,-16.92,25000000.0,66500000.0,3.0,0.0,1.0,14.0,1,375.0,298.0,
267.0,,,,,12.77,41000000.0,50200000.0,4.0,0.0,0.0,18.0,1,2243.0,,
267.0,,,,,15.02,5620000.0,68330000.0,7.0,0.0,1.0,20.0,1,2175.0,,
266.0,,,,,33.33,50000000.0,77030000.0,6.0,0.0,1.0,10.0,1,1208.0,,
264.0,,,,,23.72,7500000.0,65030000.0,10.0,0.0,1.0,20.0,1,3350.0,,
263.0,,,,,5.58,3900000.0,30900000.0,3.0,0.0,1.0,5.0,1,1221.0,294.0,388.0
262.0,,,,,60.12,50000000.0,78700000.0,4.0,0.0,1.0,6.0,1,663.0,,
262.0,,,,,32.66,50000000.0,80940000.0,3.0,0.0,0.0,11.0,1,541.0,,
261.0,,,,,6.56,30000000.0,70000000.0,2.0,0.0,1.0,11.0,1,2164.0,,
261.0,,,,,11.59,30000000.0,30000000.0,4.0,0.0,0.5,9.0,1,1159.0,,
261.0,,,,,7.35,30000000.0,41000000.0,4.0,0.0,1.0,10.0,1,732.0,,
260.0,,,,,-4.03,50000000.0,68000000.0,2.0,0.0,1.0,24.0,1,3834.0,,
260.0,,,,,7.47,50000000.0,62000000.0,4.0,0.0,1.0,24.0,1,3314.0,,
260.0,,,,,14.6,10400000.0,60400000.0,2.0,0.0,1.0,12.0,1,901.0,323.0,
259.0,,,,,19.63,55000000.0,55000000.0,1.0,0.0,0.0,10.0,1,1047.0,316.0,
258.0,,,,,4.82,360000.0,39590000.0,3.0,0.0,1.0,133.0,1,4294.0,,
258.0,,,,,-2.65,40000000.0,78000000.0,4.0,0.0,1.0,10.0,1,1516.0,,
258.0,,,,,-3.0,80000000.0,80000000.0,0.0,0.0,1.0,18.0,1,3883.0,,
257.0,,,,,23.67,55000000.0,100000000.0,5.0,0.0,1.0,10.0,1,1775.0,,
255.0,,,,,98.46,25000000.0,51000000.0,2.0,0.0,0.0,4.0,1,473.0,,
254.0,,,,,52.69,20000000.0,32000000.0,4.0,0.0,0.0,5.0,1,661.0,294.0,
254.0,,,,,20.48,15000000.0,41490000.0,5.0,0.0,1.0,22.0,1,1322.0,,
253.0,,,,,15.6,25000000.0,68300000.0,8.0,0.0,1.0,10.0,1,690.0,,
253.0,,,,,-0.4,20000000.0,91060000.0,6.0,0.0,0.0,15.0,1,1804.0,323.0,
253.0,,,,,19.25,52000000.0,78490000.0,5.0,0.0,1.0,6.0,1,409.0,,
253.0,,,,,4.1,20000000.0,33330000.0,3.0,0.0,0.5,6.0,1,951.0,,
252.0,,,,,33.86,5000000.0,50360000.0,6.0,0.0,1.0,16.0,1,2455.0,294.0,1311.0
252.0,,,,,-5.66,55000000.0,65860000.0,3.0,0.0,0.0,8.0,1,1174.0,,
252.0,,,,,-16.05,15000000.0,25330000.0,7.0,0.0,1.0,13.0,1,1314.0,,
252.0,,,,,3.25,61980000.0,62760000.0,2.0,0.0,0.0,11.0,1,1188.0,,
252.0,,,,,-8.73,15000000.0,60000000.0,6.0,0.0,1.0,20.0,1,5921.0,,
252.0,,,,,-14.92,61880000.0,94450000.0,5.0,0.0,1.0,8.0,1,705.0,,
252.0,,,,,-7.38,,94000000.0,6.0,0.0,1.0,17.0,1,1508.0,,
251.0,,,,,-1.18,37600000.0,54500000.0,4.0,0.0,0.0,15.0,1,2749.0,,
250.0,,,,,-15.2,2700000.0,79700000.0,4.0,0.0,0.0,14.0,1,2468.0,298.0,
250.0,,,,,32.63,22000000.0,34080000.0,6.0,0.0,1.0,14.0,1,1194.0,316.0,
249.0,,,,,-18.15,10750000.0,78380000.0,3.0,0.0,1.0,8.0,1,865.0,,
249.0,,,,,2.43,10000000.0,64839999.0,4.0,0.0,1.0,9.0,1,1277.0,,
245.0,,,,,-1.98,28000000.0,28020000.0,8.0,0.0,0.0,15.0,1,2652.0,,
244.0,,,,,-16.89,50000000.0,100000000.0,5.0,0.0,0.0,18.0,1,1019.0,,
244.0,,,,,-13.33,40000000.0,79500000.0,3.0,0.0,1.0,14.0,1,1389.0,,
244.0,,,,,42.44,27500000.0,36750000.0,3.0,0.0,0.0,4.0,1,1108.0,,
243.0,,,,,1.24,,92500000.0,5.0,0.0,1.0,13.0,1,1405.0,,
242.0,,,,,19.7,5820000.0,29680000.0,2.0,0.0,0.0,24.0,1,1278.0,,
241.0,,,,,1.67,,60390000.0,8.0,0.0,1.0,14.0,1,1323.0,,
241.0,,,,,32.6,29990000.0,33690000.0,2.0,0.0,0.0,9.0,1,1140.0,,
240.0,,,,,24.74,13750000.0,39750000.0,5.0,0.0,1.0,8.0,1,738.0,293.0,409.0
240.0,,,,,6.11,75000000.0,100000000.0,4.0,0.0,1.0,14.0,1,647.0,,
240.0,,,,,-17.97,16030000.0,72120000.0,4.0,0.0,0.0,11.0,1,805.0,,
240.0,,,,,111.4,66000000.0,92160000.0,6.0,0.0,0.0,7.0,1,375.0,316.0,
240.0,,,,,-3.97,26000000.0,38840000.0,4.0,0.0,0.0,16.0,1,1487.0,323.0,
